"index","payment_date","userid","price","payment_period"
"142","2016-10-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2016-10-01T00:00:00.000Z"
"143","2016-11-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2016-11-01T00:00:00.000Z"
"144","2016-12-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2016-12-01T00:00:00.000Z"
"145","2017-01-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2017-01-01T00:00:00.000Z"
"146","2017-02-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2017-02-01T00:00:00.000Z"
"147","2017-01-27T00:00:00.000Z","02afca3a690158983c80","5000","2017-01-01T00:00:00.000Z"
"148","2016-08-20T00:00:00.000Z","02c26eff522df715671f","5000","2016-08-01T00:00:00.000Z"
"149","2016-09-22T00:00:00.000Z","02db5348c26cb03d8990","5000","2016-09-01T00:00:00.000Z"
"150","2017-01-23T00:00:00.000Z","02f621d3fc44710c17f2","5000","2017-01-01T00:00:00.000Z"
"151","2016-08-03T00:00:00.000Z","0305f8466e85708aa52c","5000","2016-08-01T00:00:00.000Z"
"152","2016-09-13T00:00:00.000Z","0323f2d866d44c915f24","5000","2016-09-01T00:00:00.000Z"
"153","2016-10-13T00:00:00.000Z","0323f2d866d44c915f24","5000","2016-10-01T00:00:00.000Z"
"154","2016-11-13T00:00:00.000Z","0323f2d866d44c915f24","5000","2016-11-01T00:00:00.000Z"
"155","2016-12-13T00:00:00.000Z","0323f2d866d44c915f24","5000","2016-12-01T00:00:00.000Z"
"156","2017-01-13T00:00:00.000Z","0323f2d866d44c915f24","5000","2017-01-01T00:00:00.000Z"
"157","2016-07-26T00:00:00.000Z","0325c83c9a61817f43e7","5000","2016-07-01T00:00:00.000Z"
"158","2016-08-26T00:00:00.000Z","0325c83c9a61817f43e7","5000","2016-08-01T00:00:00.000Z"
"159","2016-09-26T00:00:00.000Z","0325c83c9a61817f43e7","5000","2016-09-01T00:00:00.000Z"
"160","2016-10-26T00:00:00.000Z","0325c83c9a61817f43e7","5000","2016-10-01T00:00:00.000Z"
"161","2016-11-26T00:00:00.000Z","0325c83c9a61817f43e7","5000","2016-11-01T00:00:00.000Z"
"162","2016-12-26T00:00:00.000Z","0325c83c9a61817f43e7","5000","2016-12-01T00:00:00.000Z"
"163","2017-01-26T00:00:00.000Z","0325c83c9a61817f43e7","5000","2017-01-01T00:00:00.000Z"
"164","2016-06-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2016-06-01T00:00:00.000Z"
"165","2016-07-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2016-07-01T00:00:00.000Z"
"166","2016-08-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2016-08-01T00:00:00.000Z"
"167","2016-09-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2016-09-01T00:00:00.000Z"
"168","2016-10-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2016-10-01T00:00:00.000Z"
"169","2016-11-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2016-11-01T00:00:00.000Z"
"170","2016-12-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2016-12-01T00:00:00.000Z"
"171","2017-01-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2017-01-01T00:00:00.000Z"
"172","2017-02-02T00:00:00.000Z","03341520430f2f3c6f0c","5000","2017-02-01T00:00:00.000Z"
"173","2016-09-27T00:00:00.000Z","033dc8e1bcaf4ced6264","5000","2016-09-01T00:00:00.000Z"
"174","2016-10-28T00:00:00.000Z","03673eedf9cea90344c3","5000","2016-10-01T00:00:00.000Z"
"175","2016-11-28T00:00:00.000Z","03673eedf9cea90344c3","5000","2016-11-01T00:00:00.000Z"
"176","2016-12-28T00:00:00.000Z","03673eedf9cea90344c3","5000","2016-12-01T00:00:00.000Z"
"177","2017-01-28T00:00:00.000Z","03673eedf9cea90344c3","5000","2017-01-01T00:00:00.000Z"
"178","2016-09-24T00:00:00.000Z","038f187269364fc468a3","5000","2016-09-01T00:00:00.000Z"
"179","2016-10-24T00:00:00.000Z","038f187269364fc468a3","5000","2016-10-01T00:00:00.000Z"
"180","2016-11-24T00:00:00.000Z","038f187269364fc468a3","5000","2016-11-01T00:00:00.000Z"
"181","2016-12-24T00:00:00.000Z","038f187269364fc468a3","5000","2016-12-01T00:00:00.000Z"
"182","2017-01-24T00:00:00.000Z","038f187269364fc468a3","5000","2017-01-01T00:00:00.000Z"
"183","2017-01-24T00:00:00.000Z","038f8fa87dcf01a1eb07","5000","2017-01-01T00:00:00.000Z"
"184","2016-11-25T00:00:00.000Z","03960726048f9360ba5a","5000","2016-11-01T00:00:00.000Z"
"185","2016-12-25T00:00:00.000Z","03960726048f9360ba5a","5000","2016-12-01T00:00:00.000Z"
"186","2017-01-25T00:00:00.000Z","03960726048f9360ba5a","5000","2017-01-01T00:00:00.000Z"
"187","2016-12-19T00:00:00.000Z","039d35c260cc550f0710","5000","2016-12-01T00:00:00.000Z"
"188","2016-12-10T00:00:00.000Z","03c0f8c98177c9d6e630","5000","2016-12-01T00:00:00.000Z"
"189","2017-01-10T00:00:00.000Z","03c0f8c98177c9d6e630","5000","2017-01-01T00:00:00.000Z"
"190","2017-02-10T00:00:00.000Z","03c0f8c98177c9d6e630","5000","2017-02-01T00:00:00.000Z"
"191","2016-12-05T00:00:00.000Z","03e3663c655c0ded9f8b","5000","2016-12-01T00:00:00.000Z"
"192","2016-08-22T00:00:00.000Z","03e69edb7e8adff3385e","5000","2016-08-01T00:00:00.000Z"
"193","2016-11-04T00:00:00.000Z","041585b8504ca34f3458","5000","2016-11-01T00:00:00.000Z"
"194","2016-12-04T00:00:00.000Z","041585b8504ca34f3458","5000","2016-12-01T00:00:00.000Z"
"195","2017-01-04T00:00:00.000Z","041585b8504ca34f3458","5000","2017-01-01T00:00:00.000Z"
"196","2017-02-04T00:00:00.000Z","041585b8504ca34f3458","5000","2017-02-01T00:00:00.000Z"
"197","2016-09-05T00:00:00.000Z","04172df9ed842f6875d7","5000","2016-09-01T00:00:00.000Z"
"198","2016-10-05T00:00:00.000Z","04172df9ed842f6875d7","5000","2016-10-01T00:00:00.000Z"
"199","2016-11-05T00:00:00.000Z","04172df9ed842f6875d7","5000","2016-11-01T00:00:00.000Z"
"200","2016-12-05T00:00:00.000Z","04172df9ed842f6875d7","5000","2016-12-01T00:00:00.000Z"
"201","2017-01-05T00:00:00.000Z","04172df9ed842f6875d7","5000","2017-01-01T00:00:00.000Z"
"202","2017-02-05T00:00:00.000Z","04172df9ed842f6875d7","5000","2017-02-01T00:00:00.000Z"
